,year,input_string,sale_date,address,postal_code,ppr_county,price,not_full_market_price,vat_exclusive,description_of_property,property_size_description,date,formatted_address,accuracy,latitude,longitude,postcode,type,geo_county,electoral_district,electoral_district_id,region,small_area
2262,2012,"12 heathfield Close, Cappagh Road, Finglas,Dublin,Ireland",19/06/2012,"12 heathfield Close, Cappagh Road, Finglas",Dublin 11,Dublin,145000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,19/06/2012,"12 Heathfield Cl, Heathfield Green, Cappoge, Dublin 11, D11 Y6V6, Ireland",ROOFTOP,53.395169,-6.3262411,D11 Y6V6,street_address,Fingal,The Ward,4041,Dublin,267158009
2448,2012,"13  Barnwell Drive, Barnwell, Hansfield,Dublin,Ireland",08/08/2012,"13  Barnwell Drive, Barnwell, Hansfield",Dublin 15,Dublin,164196,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,08/08/2012,"13 Barnwell St, Williston, SC 29853, USA",RANGE_INTERPOLATED,33.3995279,-81.4209873,29853,street_address,NA,NA,NA,NA,NA
2938,2012,"14 Barnwell Drive, Hansfield, Dublin 15,Dublin,Ireland",26/06/2012,"14 Barnwell Drive, Hansfield, Dublin 15",Dublin 15,Dublin,164950,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,26/06/2012,"14 Barnwell Dr, Hansfield, Dublin 15, D15 F5PT, Ireland",ROOFTOP,53.3913024,-6.4441935,D15 F5PT,street_address,Fingal,Blanchardstown-Blakestown,4009,Dublin,267028004/01
2942,2012,"14 Belarmine Hall, Belarmine Avenue, Stepaside,Dublin,Ireland",24/01/2012,"14 Belarmine Hall, Belarmine Avenue, Stepaside",Dublin 18,Dublin,100440.52,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,24/01/2012,"Belarmine Hall, Belarmine Ave, Belarmine, Dublin 18, Ireland",ROOFTOP,53.2616219,-6.2216501,,premise,Dn Laoghaire-Rathdown,Glencullen,5057,Dublin,267092015/02
3193,2012,"14 barnwell place, hansfield,Dublin,Ireland",04/05/2012,"14 barnwell place, hansfield",Dublin 15,Dublin,109251,No,Yes,New Dwelling house /Apartment,less than 38 sq metres,04/05/2012,"14 Barnwell Pl, Hansfield, Dublin 15, D15 HDH7, Ireland",ROOFTOP,53.3927952,-6.4437301,D15 HDH7,street_address,Fingal,Blanchardstown-Blakestown,4009,Dublin,267028004/01
3310,2012,"149, HAMPTON WOOD AVENUE, HAMPTON WOOD,Dublin,Ireland",21/08/2012,"149, HAMPTON WOOD AVENUE, HAMPTON WOOD",Dublin 11,Dublin,202643.17,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,21/08/2012,"149 Hampton Wood Ave, Hampton Wood, Dublin 11, Ireland",ROOFTOP,53.4052756,-6.2850297,,street_address,Dublin City,Ballymun A,2015,Dublin,268015005/268015014
3334,2012,"15 Apartments in Block F, Herberton  Rialto,Dublin,Ireland",21/12/2012,"15 Apartments in Block F, Herberton  Rialto",Dublin 8,Dublin,89445,No,No,New Dwelling house /Apartment,greater than 125 sq metres,21/12/2012,,,NA,NA,,,NA,NA,NA,NA,NA
3656,2012,"151A RICHMOND ROAD, DRUMCONDRA,Dublin,Ireland",31/10/2012,"151A RICHMOND ROAD, DRUMCONDRA",Dublin 9,Dublin,220000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,31/10/2012,"151 Richmond Rd, Drumcondra, Dublin, Ireland",RANGE_INTERPOLATED,53.3658636,-6.247939,,street_address,Dublin City,Drumcondra South A,2047,Dublin,268058016
3664,2012,"153 Crosbies Yard, Ossory Road,Dublin,Ireland",30/11/2012,"153 Crosbies Yard, Ossory Road",Dublin 3,Dublin,81498,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,30/11/2012,"Crosbie's Yard, 64 Ossory Rd, East Wall, Dublin, Ireland",ROOFTOP,53.3554387,-6.2411408,,"establishment,point_of_interest,premise",Dublin City,North Dock B,2077,Dublin,268108016
3693,2012,"155 Rockview, Simons Ridge, Sandyford,Dublin,Ireland",27/03/2012,"155 Rockview, Simons Ridge, Sandyford",Dublin 18,Dublin,83700.44,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,27/03/2012,"155 Rockview, Sandyford, Dublin, Ireland",RANGE_INTERPOLATED,53.2697016,-6.2409168,,street_address,Dn Laoghaire-Rathdown,Dundrum-Sandyford,5039,Dublin,267080024
3699,2012,"156 Rockview, Simons Ridge, Sandyford,Dublin,Ireland",27/03/2012,"156 Rockview, Simons Ridge, Sandyford",Dublin 18,Dublin,83700.44,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,27/03/2012,"156 Rockview, Sandyford, Dublin, Ireland",RANGE_INTERPOLATED,53.2697016,-6.2409168,,street_address,Dn Laoghaire-Rathdown,Dundrum-Sandyford,5039,Dublin,267080024
3718,2012,"158 Rockview, Simons Ridge, Sandyford,Dublin,Ireland",13/02/2012,"158 Rockview, Simons Ridge, Sandyford",Dublin 18,Dublin,92511.01,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,13/02/2012,"158 Rockview, Sandyford, Dublin, Ireland",RANGE_INTERPOLATED,53.2697016,-6.2409168,,street_address,Dn Laoghaire-Rathdown,Dundrum-Sandyford,5039,Dublin,267080024
3721,2012,"158 Wyckham Point, Wyckham Way, Dundrum,Dublin,Ireland",28/05/2012,"158 Wyckham Point, Wyckham Way, Dundrum",Dublin 16,Dublin,233225,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,28/05/2012,"Wyckham Point, Wyckham Way, Balally, Dublin 16, D16 P640, Ireland",APPROXIMATE,53.2804439,-6.2433444,D16 P640,"establishment,point_of_interest",Dn Laoghaire-Rathdown,Dundrum-Sandyford,5039,Dublin,267080009/267080010
3735,2012,"159 Rockview, Simons Ridge, Sandyford,Dublin,Ireland",27/03/2012,"159 Rockview, Simons Ridge, Sandyford",Dublin 18,Dublin,83700.44,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,27/03/2012,"159 Rockview, Sandyford, Dublin, Ireland",RANGE_INTERPOLATED,53.2697016,-6.2409168,,street_address,Dn Laoghaire-Rathdown,Dundrum-Sandyford,5039,Dublin,267080024
4183,2012,"17 College Square, Wainsfort Manor Drive, Terenure,Dublin,Ireland",07/11/2012,"17 College Square, Wainsfort Manor Drive, Terenure",Dublin 6w,Dublin,525000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,07/11/2012,"17 Wainsfort Manor Dr, College Square, Terenure, Dublin 6W, Co. Dublin, D6W Y957, Ireland",ROOFTOP,53.3067014,-6.3093391,D6W Y957,street_address,South Dublin,Templeogue-Kimmage Manor,3042,Dublin,267150010
4403,2012,"173 Crosbies Yard, Ossory Road,Dublin,Ireland",29/09/2012,"173 Crosbies Yard, Ossory Road",Dublin 3,Dublin,205000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,29/09/2012,"Crosbie's Yard, 64 Ossory Rd, East Wall, Dublin, Ireland",ROOFTOP,53.3554387,-6.2411408,,"establishment,point_of_interest,premise",Dublin City,North Dock B,2077,Dublin,268108016
4419,2012,"175 Bloomfield Park, Donnybrook,Dublin,Ireland",30/05/2012,"175 Bloomfield Park, Donnybrook",Dublin 7,Dublin,925110,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,30/05/2012,"Bloomfield Ave, Dublin 4, Ireland",GEOMETRIC_CENTER,53.3260726,-6.2449339,,route,Dublin City,Rathmines East A,2134,Dublin,268128012/01
4890,2012,"19 CHAPELHILL, CHAPELIZOD,Dublin,Ireland",20/12/2012,"19 CHAPELHILL, CHAPELIZOD",Dublin 20,Dublin,151375,No,Yes,New Dwelling house /Apartment,less than 38 sq metres,20/12/2012,"19 Chapel Cres, Riverston Abbey, Dublin 7, D07 AH97, Ireland",ROOFTOP,53.3726943,-6.3102381,D07 AH97,street_address,Dublin City,Ashtown A,2006,Dublin,268006016
5178,2012,"2  Temple Hall, Mount Saint Anne's, Milltown,Dublin,Ireland",31/08/2012,"2  Temple Hall, Mount Saint Anne's, Milltown",Dublin 6,Dublin,281938,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,31/08/2012,"Apartment 8, Temple Hall, Milltown Ave, Mount St Annes, Dublin 6, Ireland",ROOFTOP,53.312273,-6.2491832,,premise,Dublin City,Rathmines East B,2135,Dublin,268129012/268129013
5182,2012,"2  Westminster Grove, Old Bray Road, Foxrock,Dublin,Ireland",27/01/2012,"2  Westminster Grove, Old Bray Road, Foxrock",Dublin 18,Dublin,572687.22,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,27/01/2012,"Bray Rd, Dublin 18, Ireland",GEOMETRIC_CENTER,53.2591104,-6.1483927,,route,Dn Laoghaire-Rathdown,Cabinteely-Loughlinstown,5020,Dublin,267038011
5430,2012,"2 Latchford Place, Castaheany, Dublin 15,Dublin,Ireland",05/03/2012,"2 Latchford Place, Castaheany, Dublin 15",Dublin 15,Dublin,152000,Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,05/03/2012,"2 Latchford Pl, Castaheany, Clonee, Co. Dublin, D15 W9XE, Ireland",ROOFTOP,53.3987068,-6.432115,D15 W9XE,street_address,Fingal,Blanchardstown-Blakestown,4009,Dublin,267028077
5541,2012,"2 ST. ESRA CLOSE, KILLESTER AVENUE, KILLESTER,Dublin,Ireland",28/12/2012,"2 ST. ESRA CLOSE, KILLESTER AVENUE, KILLESTER",Dublin 5,Dublin,251101.33,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,28/12/2012,,,NA,NA,,,NA,NA,NA,NA,NA
5820,2012,"20 Levmoss Avenue, The Gallops, Sandyford,Dublin,Ireland",13/12/2012,"20 Levmoss Avenue, The Gallops, Sandyford",Dublin 18,Dublin,225000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,13/12/2012,"20 Levmoss Ave, Sandyford, Dublin, Ireland",RANGE_INTERPOLATED,53.2633067,-6.1985941,,street_address,Dn Laoghaire-Rathdown,Glencullen,5057,Dublin,267092054
5892,2012,"20 The Sycamore Elmfield, Ballyogan Road, Leopardstown,Dublin,Ireland",23/01/2012,"20 The Sycamore Elmfield, Ballyogan Road, Leopardstown",Dublin 18,Dublin,154185.02,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,23/01/2012,"Apartment 27 The Sycamore, Elmfield, Ballyogan Rd, Sandyford, Dublin 18, Ireland",ROOFTOP,53.2604944,-6.2061207,,premise,Dn Laoghaire-Rathdown,Glencullen,5057,Dublin,267092026/267092050
5996,2012,"21 BARNWELL ROAD, HANSFIELD, DUBLIN 5,Dublin,Ireland",04/07/2012,"21 BARNWELL ROAD, HANSFIELD, DUBLIN 5",Dublin 5,Dublin,134801.76,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,04/07/2012,"21 Barnwell Rd, Hansfield, Dublin 15, D15 R70V, Ireland",ROOFTOP,53.3909211,-6.4427207,D15 R70V,street_address,Fingal,Blanchardstown-Blakestown,4009,Dublin,267028004/01
6083,2012,"21 Hesthfield Park, Cappagh Road, Finglas,Dublin,Ireland",20/04/2012,"21 Hesthfield Park, Cappagh Road, Finglas",Dublin 11,Dublin,176167.4,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/04/2012,"21 Heathfield Park, Heathfield View, Kildonan, Baile Átha Cliath 11, D11 H0V1, Ireland",ROOFTOP,53.394664,-6.323427,D11 H0V1,street_address,Fingal,The Ward,4041,Dublin,267158009
6364,2012,"22 Heathfield Terrace, Cappagh Road, Finglas,Dublin,Ireland",10/10/2012,"22 Heathfield Terrace, Cappagh Road, Finglas",Dublin 11,Dublin,126963,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,10/10/2012,"22 Heathfield Terrace, Heathfield View, Kildonan, Baile Átha Cliath 11, D11 T6DP, Ireland",ROOFTOP,53.3958599,-6.3209457,D11 T6DP,street_address,Fingal,The Ward,4041,Dublin,267158009
6747,2012,"23 The Terrace, Carrickmines Manor, Glenamuck Road,Dublin,Ireland",20/12/2012,"23 The Terrace, Carrickmines Manor, Glenamuck Road",Dublin 18,Dublin,264317,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/12/2012,,,NA,NA,,,NA,NA,NA,NA,NA
6824,2012,"24 ALDERWOOD, HOLLYSTOWN,Dublin,Ireland",20/08/2012,"24 ALDERWOOD, HOLLYSTOWN",Dublin 15,Dublin,182378.85,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/08/2012,"24 Alderwood, Hollystown, Dublin 15, D15 KF99, Ireland",ROOFTOP,53.4342883,-6.3761934,D15 KF99,street_address,Fingal,The Ward,4041,Dublin,267158025
7091,2012,"25 Block E1, Tulla House, Clare Village Clare Hall,Dublin,Ireland",13/06/2012,"25 Block E1, Tulla House, Clare Village Clare Hall",Dublin 17,Dublin,88105.72,No,Yes,New Dwelling house /Apartment,less than 38 sq metres,13/06/2012,"Dublin, Ireland",APPROXIMATE,53.3498053,-6.2603097,,"locality,political",Dublin City,North City,2075,Dublin,268106016
7288,2012,"253, Cruise Park Drive, Tyrrelstown,Dublin,Ireland",05/03/2012,"253, Cruise Park Drive, Tyrrelstown",Dublin 15,Dublin,220264.31,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,05/03/2012,"253 Cruise Park Dr, Tyrrelstown, Dublin 15, D15 P942, Ireland",ROOFTOP,53.419544,-6.3943744,D15 P942,street_address,Fingal,The Ward,4041,Dublin,267158011
7634,2012,"27 Heathfield Way, Cappagh Road, Finglas,Dublin,Ireland",06/11/2012,"27 Heathfield Way, Cappagh Road, Finglas",Dublin 11,Dublin,185954,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,06/11/2012,"27 Heathfield Way, Heathfield View, Kildonan, Baile Átha Cliath 11, D11 P7N3, Ireland",ROOFTOP,53.3947648,-6.3250993,D11 P7N3,street_address,Fingal,The Ward,4041,Dublin,267158009
7635,2012,"27 Herbeton Walk, Rialto,Dublin,Ireland",07/08/2012,"27 Herbeton Walk, Rialto",Dublin 8,Dublin,158590,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,07/08/2012,"27 Herberton Walk, Rialto, Dublin 8, D08 HYC8, Ireland",ROOFTOP,53.3373221,-6.2915071,D08 HYC8,street_address,Dublin City,Ushers C,2154,Dublin,268150010
7996,2012,"29 Achill Square, Waterville, Dublin 15,Dublin,Ireland",12/09/2012,"29 Achill Square, Waterville, Dublin 15",Dublin 15,Dublin,117886.17,No,Yes,New Dwelling house /Apartment,less than 38 sq metres,12/09/2012,"29 Achill Square, Abbotstown, Dublin, Ireland",RANGE_INTERPOLATED,53.3923474,-6.3679439,,street_address,Fingal,Blanchardstown-Abbotstown,4008,Dublin,267027016
8266,2012,"3 Barnwell Crescent, Barnwell, Hansfield,Dublin,Ireland",05/12/2012,"3 Barnwell Crescent, Barnwell, Hansfield",Dublin 15,Dublin,185000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,05/12/2012,"3 Barnwell St, Williston, SC 29853, USA",RANGE_INTERPOLATED,33.3995154,-81.4209978,29853,street_address,NA,NA,NA,NA,NA
8487,2012,"3 Latchford Walk, Castaheany, Dublin 15,Dublin,Ireland",20/01/2012,"3 Latchford Walk, Castaheany, Dublin 15",Dublin 15,Dublin,148000,Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20/01/2012,"3 Latchford Walk, Castaheany, Clonee, Co. Dublin, D15 R83X, Ireland",ROOFTOP,53.3985813,-6.4325451,D15 R83X,street_address,Fingal,Blanchardstown-Blakestown,4009,Dublin,267028077
8660,2012,"3 THE PIDGEON HOUSE, The Gasworks, DUBLIN 4,Dublin,Ireland",31/03/2012,"3 THE PIDGEON HOUSE, The Gasworks, DUBLIN 4",Dublin 4,Dublin,308370,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,31/03/2012,"Dublin, Ireland",APPROXIMATE,53.3498053,-6.2603097,,"locality,political",Dublin City,North City,2075,Dublin,268106016
