year,sale_date,postal_code,price,description_of_property,property_size_description,formatted_address,latitude,longitude,geo_county
2017,10/02/2017,,355000,Second-Hand Dwelling house /Apartment,,"1 Grace Park Terrace, Drumcondra, Dublin 9, D09 T0A4, Ireland",53.372314,-6.2420866,Dublin City
2017,03/04/2017,,325000,Second-Hand Dwelling house /Apartment,,"1 Greenhills Rd, Tymon North, Dublin 24, D24 YH7Y, Ireland",53.2977742,-6.3539941,South Dublin
2017,23/03/2017,,640000,Second-Hand Dwelling house /Apartment,,"1, Oak Lodge, Grotto Ave, Merrion, Blackrock, Co. Dublin, Ireland",53.3086417,-6.1976272,Dn Laoghaire-Rathdown
2017,02/05/2017,,16000,Second-Hand Dwelling house /Apartment,,"1 Grove Ave, Malahide, Co. Dublin, K36 YY46, Ireland",53.4472622,-6.1496689,Fingal
2017,02/05/2017,,16000,Second-Hand Dwelling house /Apartment,,"1 Grove Ave, Malahide, Co. Dublin, K36 YY46, Ireland",53.4472622,-6.1496689,Fingal
2017,30/05/2017,,1550000,Second-Hand Dwelling house /Apartment,,"1 Grove Ave, Malahide, Co. Dublin, K36 YY46, Ireland",53.4472622,-6.1496689,Fingal
2017,30/05/2017,,1550000,Second-Hand Dwelling house /Apartment,,"1 Grove Ave, Malahide, Co. Dublin, K36 YY46, Ireland",53.4472622,-6.1496689,Fingal
2017,06/01/2017,Dublin 6,905000,Second-Hand Dwelling house /Apartment,,"1 Gulistan Terrace, Dublin 6, D06 T6X2, Ireland",53.3248075,-6.2609317,Dublin City
2017,22/03/2017,,115000,Second-Hand Dwelling house /Apartment,,"Hampton Court, Tyrconnell Rd, Inchicore, Dublin 8, Ireland",53.3386576,-6.3229439,Dublin City
2017,10/03/2017,,1.00E+06,Second-Hand Dwelling house /Apartment,,"1 Harcourt Terrace, Saint Kevin's, Dublin 2, D02 TX05, Ireland",53.3325055,-6.258198,Dublin City
2017,17/01/2017,Dublin 15,465000,Second-Hand Dwelling house /Apartment,,"1 Hollystown Demesne, Hollystown, Dublin 15, D15 T2P7, Ireland",53.4332426,-6.378883,Fingal
2017,07/03/2017,Dublin 24,2.00E+05,Second-Hand Dwelling house /Apartment,,"1 Homelawn Ave, Oldbawn, Dublin 24, D24 XW9T, Ireland",53.2835985,-6.3503706,South Dublin
2017,18/04/2017,Dublin 2,235000,Second-Hand Dwelling house /Apartment,,"3, Huband Mews, Stephen's Ln, Grand Canal Dock, Dublin 2, Ireland",53.337713,-6.244199,Dublin City
2017,08/05/2017,Dublin 8,263300,Second-Hand Dwelling house /Apartment,,"Winetavern St, Merchants Quay, Dublin, Ireland",53.3436116,-6.2718441,Dublin City
2017,27/06/2017,Dublin 1,130000,Second-Hand Dwelling house /Apartment,,"Apartment 6, Kelly's Court, Kellys Row, Rotunda, Dublin 1, Ireland",53.3582062,-6.2617618,Dublin City
2017,03/02/2017,Dublin 7,550000,Second-Hand Dwelling house /Apartment,,"7 Kempton View, Ashtown, Dublin, Ireland",53.3738321,-6.3261876,Dublin City
2017,09/05/2017,Dublin 5,240000,Second-Hand Dwelling house /Apartment,,"1 Kilbarron Rd, Kilmore, Dublin 5, D05 EE37, Ireland",53.3917014,-6.2155778,Dublin City
2017,31/03/2017,Dublin 6,8.00E+05,Second-Hand Dwelling house /Apartment,,"1 Killeen Rd, Dublin 6, D06 AX02, Ireland",53.3203665,-6.258574,Dublin City
2017,10/05/2017,Dublin 5,175000,Second-Hand Dwelling house /Apartment,,"1 Kilmore Rd, Kilmore, Dublin, Ireland",53.3918307,-6.2149528,Dublin City
2017,24/01/2017,Dublin 10,194000,Second-Hand Dwelling house /Apartment,,"1 Kylemore Ave, Kylemore, Dublin 10, D10 A563, Ireland",53.3380704,-6.3484521,Dublin City
2017,28/02/2017,Dublin 15,82307.27,Second-Hand Dwelling house /Apartment,,"2, Laburnum Court, Rathborne Grove, Rathborne, Dublin 15, Ireland",53.3781108,-6.3245141,Dublin City
2017,03/02/2017,,1100000,Second-Hand Dwelling house /Apartment,,"1 Lakelands Park, Templeogue, Dublin 6W, Co. Dublin, D6W WP90, Ireland",53.3061725,-6.291759,Dublin City
2017,12/05/2017,Dublin 15,272500,Second-Hand Dwelling house /Apartment,,"1 Latchford Green, Castaheany, Clonee, Co. Dublin, D15 W2C9, Ireland",53.3979309,-6.4326605,Fingal
2017,02/06/2017,Dublin 8,468501,Second-Hand Dwelling house /Apartment,,"Lauderdale Terrace, New Row S, Merchants Quay, Dublin 8, Ireland",53.3386049,-6.2733707,Dublin City
2017,31/03/2017,,8.00E+05,Second-Hand Dwelling house /Apartment,,"1 Leopardstown Oaks, Stillorgan, Dublin, A94 AY22, Ireland",53.2798639,-6.1964428,Dn Laoghaire-Rathdown
2017,16/01/2017,,310000,Second-Hand Dwelling house /Apartment,,"Apartment 40, Les Buissonnets, Sweetman's Ave, Blackrock, Co. Dublin, Ireland",53.2995034,-6.1779623,Dn Laoghaire-Rathdown
2017,26/01/2017,,307000,Second-Hand Dwelling house /Apartment,,"1A Liffey Park, Liffey Valley Park, Lucan, Co. Dublin, K78 XN51, Ireland",53.3522213,-6.4161432,South Dublin
2017,23/02/2017,Dublin 15,490000,Second-Hand Dwelling house /Apartment,,"1 Luttrellstown Cl, Carpenterstown, Dublin 15, D15 TYF4, Ireland",53.3690787,-6.3913808,Fingal
2017,29/03/2017,Dublin 15,372000,Second-Hand Dwelling house /Apartment,,"1 Luttrellstown Oaks, Carpenterstown, Dublin 15, D15 K1E2, Ireland",53.3714691,-6.3933976,Fingal
2017,04/05/2017,Dublin 13,1216000,Second-Hand Dwelling house /Apartment,,"Martello Terrace, Strand Rd, Sutton South, Dublin 13, Ireland",53.373472,-6.0979183,Fingal
2017,05/05/2017,Dublin 11,150000,Second-Hand Dwelling house /Apartment,,"1 Melville Grove, Jamestown Little, Dublin 11, D11 KA4E, Ireland",53.4011352,-6.292196,Fingal
2017,10/02/2017,Dublin 6,437000,Second-Hand Dwelling house /Apartment,,"1 Mountpleasant Villas, Dublin 6, D06 F802, Ireland",53.3261503,-6.2592049,Dublin City
2017,10/02/2017,Dublin 22,215000,Second-Hand Dwelling house /Apartment,,"1 Neilstown Gardens, Neillstown, Dublin 22, D22 W992, Ireland",53.3391703,-6.3948099,South Dublin
2017,16/01/2017,,170000,Second-Hand Dwelling house /Apartment,,"1 Balrothery Estate, Balrothery, Dublin 24, D24 Y0HF, Ireland",53.2908681,-6.3429769,South Dublin
2017,25/04/2017,Dublin 8,190000,Second-Hand Dwelling house /Apartment,,"Patrick St, Merchants Quay, Dublin, Ireland",53.3404129,-6.2725455,Dublin City
2017,31/03/2017,Dublin 12,280000,Second-Hand Dwelling house /Apartment,,"1 O'Brien Rd, Walkinstown, Dublin 12, D12 P9K2, Ireland",53.3181065,-6.3257421,Dublin City
2017,24/04/2017,,180000,Second-Hand Dwelling house /Apartment,,"1 O'Donoghue St, Inchicore, Dublin 8, D08 P8HY, Ireland",53.3369076,-6.3295065,Dublin City
2017,25/05/2017,Dublin 20,330000,Second-Hand Dwelling house /Apartment,,"1 Palmers Glade, Palmerstown Manor, Dublin 20, D20 X285, Ireland",53.3482142,-6.3829127,South Dublin
2017,22/05/2017,Dublin 4,405000,Second-Hand Dwelling house /Apartment,,"Pembroke Manor, Pembroke Rd, Dublin 4, Ireland",53.3326596,-6.2392607,Dublin City
2017,07/03/2017,Dublin 8,305000,Second-Hand Dwelling house /Apartment,,"1 Pimlico, Merchants Quay, Dublin 8, D08 CA47, Ireland",53.339651,-6.2800789,Dublin City
2017,08/05/2017,Dublin 13,315677.38,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,"Belltree Avenue, Donaghmede, Dublin, Ireland",53.4065193,-6.1564006,Dublin City
2017,31/01/2017,Dublin 15,375000,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,"Royal Canal Park, Dublin, Co. Dublin, Ireland",53.3770924,-6.3179312,Dublin City
2017,09/03/2017,Dublin 17,280000,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,"Priorswood Lodge, Clonshaugh Rd, Clonshagh, Dublin 17, Ireland",53.4032235,-6.214759,Dublin City
2017,06/03/2017,,149100,Second-Hand Dwelling house /Apartment,,"1 Ringfort Ave, Rosepark, Balrothery, Co. Dublin, K32 F218, Ireland",53.5846764,-6.184308,Fingal
2017,28/02/2017,,580000,Second-Hand Dwelling house /Apartment,,"Rosehill, Carysfort Ave, Stillorgan Park, Blackrock, Co. Dublin, Ireland",53.2866285,-6.18045,Dn Laoghaire-Rathdown
2017,05/04/2017,Dublin 1,140000,Second-Hand Dwelling house /Apartment,,"1 Shamrock Pl, North Dock, Dublin 1, D01 P2X2, Ireland",53.3552895,-6.2448094,Dublin City
2017,01/03/2017,Dublin 4,730000,Second-Hand Dwelling house /Apartment,,"1, Shelbourne Place, Shelbourne Rd, Dublin 4, Ireland",53.3351487,-6.2334952,Dublin City
2017,10/05/2017,Dublin 3,380000,Second-Hand Dwelling house /Apartment,,"1 St Barnabas Gardens, East Wall, Dublin 3, D03 C952, Ireland",53.3553622,-6.238239,Dublin City
2017,28/04/2017,,181000,Second-Hand Dwelling house /Apartment,,"Apartment 21, Saint Fintan's, North St, Townparks, Swords, Co. Dublin, Ireland",53.4637057,-6.2178598,Fingal
2017,20/01/2017,,480000,Second-Hand Dwelling house /Apartment,,"1 St Kevin's Park, Kilmacud, Blackrock, Co. Dublin, A94 F6X2, Ireland",53.2863088,-6.2151781,Dn Laoghaire-Rathdown
2017,12/05/2017,Dublin 15,325000,Second-Hand Dwelling house /Apartment,,"1 St Vincent St S, Wood Quay, Dublin 8, D08 T8W8, Ireland",53.3330913,-6.2745434,Dublin City
2017,01/06/2017,Dublin 13,310000,Second-Hand Dwelling house /Apartment,,"3, Sweetman House, Myrtle Ave, The Coast, Dublin 13, Ireland",53.3997919,-6.1463276,Fingal
2017,20/01/2017,Dublin 4,1325000,Second-Hand Dwelling house /Apartment,,"1 Sydney Parade Ave, Dublin 4, D04 K6Y0, Ireland",53.319792,-6.2127073,Dublin City
2017,30/03/2017,Dublin 2,344000,Second-Hand Dwelling house /Apartment,,"39 Adelaide Rd, Saint Kevin's, Dublin 2, Ireland",53.3320927,-6.2544323,Dublin City
2017,07/02/2017,Dublin 5,68500,New Dwelling house /Apartment,less than 38 sq metres,"1 Sybil Hill Ave, Clontarf, Dublin 5, D05 DX52, Ireland",53.3762738,-6.1859576,Dublin City
2017,28/04/2017,Dublin 13,3.00E+05,Second-Hand Dwelling house /Apartment,,"1 Temple View Cres, Clarehall, Dublin 13, D13 A0P0, Ireland",53.4016748,-6.1757432,Dublin City
2017,13/04/2017,Dublin 3,288500,Second-Hand Dwelling house /Apartment,,"1 Temple View Grove, Clarehall, Dublin 13, D13 W7P6, Ireland",53.4001334,-6.1771005,Dublin City
2017,19/06/2017,,230000,Second-Hand Dwelling house /Apartment,,"1 Harrison's Cove, Townparks, Skerries, Co. Dublin, K34 X308, Ireland",53.5826589,-6.1245231,Fingal
2017,17/01/2017,,330000,Second-Hand Dwelling house /Apartment,,"The Courtyard, Newtown Ave, Seapoint, Blackrock, Co. Dublin, Ireland",53.2988662,-6.1701215,Dn Laoghaire-Rathdown
2017,21/04/2017,Dublin 4,290000,Second-Hand Dwelling house /Apartment,,"The Elms, Mount Merrion Ave, Merrion, Blackrock, Co. Dublin, Ireland",53.2983102,-6.1948971,Dn Laoghaire-Rathdown
2017,01/02/2017,Dublin 2,380548,Second-Hand Dwelling house /Apartment,,"The Friary, Cecilia St, Temple Bar, Dublin 2, Ireland",53.3451703,-6.263514,Dublin City
2017,19/01/2017,Dublin 14,563877,New Dwelling house /Apartment,greater than or equal to 125 sq metres,"Hazelbrook Square, Whitehall Rd, Whitehall, Dublin 14, D14 YN99, Ireland",53.2932792,-6.2670409,Dn Laoghaire-Rathdown
2017,20/01/2017,Dublin 15,255000,Second-Hand Dwelling house /Apartment,,"Apartment 27, The Oaks, River Rd, Pelletstown Manor, Royal Canal Park, Dublin 15, Ireland",53.3771739,-6.3234666,Dublin City
2017,12/01/2017,,285000,Second-Hand Dwelling house /Apartment,,"1 The Square, Townparks, Skerries, Co. Dublin, K34 PF70, Ireland",53.5800303,-6.1102055,Fingal
2017,12/06/2017,Dublin 6,214000,Second-Hand Dwelling house /Apartment,,"The Turrets, Rathmines Rd Upper, Dublin 6, Ireland",53.3190299,-6.2637702,Dublin City
2017,13/06/2017,,115000,Second-Hand Dwelling house /Apartment,,"1 The Villa, Melrose Park, Swords, Co. Dublin, K67 N6R3, Ireland",53.4459261,-6.2063832,Fingal
2017,06/04/2017,Dublin 18,135550.66,Second-Hand Dwelling house /Apartment,,"Apartment 17, Cairnbrook Manor, Cairnbrook Ave., Dublin 18, Ireland",53.2479193,-6.1797148,Dn Laoghaire-Rathdown
2017,24/01/2017,,299500,Second-Hand Dwelling house /Apartment,,"1 Tolka Estate, Ballygall, Dublin 11, D11 E8PW, Ireland",53.3801531,-6.2814432,Dublin City
2017,26/01/2017,Dublin 11,262000,Second-Hand Dwelling house /Apartment,,"1 Towerview Cottages, Cabra East, Dublin 11, D11 R2K8, Ireland",53.3686944,-6.2756821,Dublin City
2017,10/02/2017,,640000,Second-Hand Dwelling house /Apartment,,"1 Trimleston Rd, Trimblestown, Blackrock, Co. Dublin, Ireland",53.3098554,-6.2058973,Dn Laoghaire-Rathdown
2017,27/02/2017,,2.00E+05,Second-Hand Dwelling house /Apartment,,"Trimleston, Hamlet Ln, Bremore, Balbriggan, Co. Dublin, Ireland",53.6147955,-6.2064556,Fingal
2017,09/02/2017,Dublin 6w,531608,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,"1 Terenure Rd W, Terenure, Dublin 6W, Co. Dublin, Ireland",53.3096876,-6.2849454,Dublin City
2017,24/03/2017,Dublin 18,471365.64,New Dwelling house /Apartment,greater than or equal to 125 sq metres,"Glenamuck Rd, Kilternan, Co. Dun Laoghaire-Rathdown, DUBLIN 18, Ireland",53.24995,-6.179252,Dn Laoghaire-Rathdown
2017,07/06/2017,Dublin 15,277533,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,"Clonsilla, Dublin, Ireland",53.3905516,-6.4322246,Fingal
2017,12/04/2017,Dublin 14,572687,New Dwelling house /Apartment,less than 38 sq metres,"1 Hazelbrook Dr, Terenure, Dublin 6W, Co. Dublin, D6W PX80, Ireland",53.3129164,-6.2961187,Dublin City
2017,12/04/2017,Dublin 16,524229.08,New Dwelling house /Apartment,greater than or equal to 125 sq metres,"Scholarstown Rd, Ballyroan, Dublin, Ireland",53.2793586,-6.3073067,South Dublin
2017,03/03/2017,,422908,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,"Scholarstown Rd, Ballyroan, Dublin, Ireland",53.2793586,-6.3073067,South Dublin
2017,06/01/2017,,380000,Second-Hand Dwelling house /Apartment,,"Rush, Co. Dublin, Ireland",53.5227345,-6.0970333,Fingal
2017,21/03/2017,Dublin 1,340000,Second-Hand Dwelling house /Apartment,,"Valentia, Adelaide Rd, Glenageary, Dublin, Ireland",53.2852578,-6.1238568,Dn Laoghaire-Rathdown
2017,03/02/2017,Dublin 9,375000,Second-Hand Dwelling house /Apartment,,"Vera Terrace, Botanic Ave, Drumcondra, Dublin 9, Ireland",53.3709789,-6.264679,Dublin City
2017,18/05/2017,Dublin 8,39000,Second-Hand Dwelling house /Apartment,,"1 Victoria St, Wood Quay, Dublin 8, D08 N9DR, Ireland",53.3319624,-6.2703826,Dublin City
2017,17/05/2017,Dublin 14,575000,Second-Hand Dwelling house /Apartment,,"1 Weston Rd, Churchtown Upper, Dublin 14, D14 X635, Ireland",53.293352,-6.2564651,Dn Laoghaire-Rathdown
2017,06/03/2017,Dublin 15,180000,Second-Hand Dwelling house /Apartment,,"Windmill Terrace, Coolmine, Dublin 15, Ireland",53.380086,-6.3999964,Fingal
2017,19/05/2017,Dublin 15,205000,Second-Hand Dwelling house /Apartment,,"1 Blakestown Rd, Blakestown, Dublin 15, D15 TKH7, Ireland",53.3990698,-6.401029,Fingal
2017,20/06/2017,Dublin 15,286000,Second-Hand Dwelling house /Apartment,,"1 Woodvale Grove, Blakestown, Dublin 15, D15 KFY8, Ireland",53.3948645,-6.4092799,Fingal
2017,13/02/2017,,772356,New Dwelling house /Apartment,greater than or equal to 125 sq metres,"Tivoli Lodge, Tivoli Rd, D̼n Laoghaire, Dublin, Ireland",53.2887622,-6.1449582,Dn Laoghaire-Rathdown
2017,20/01/2017,Dublin 18,1500000,Second-Hand Dwelling house /Apartment,,"Apartment 30A Block A, Blackglen View, Blackglen Rd, Sandyford, Dublin 18, Ireland",53.265889,-6.2374311,Dn Laoghaire-Rathdown
2017,27/01/2017,Dublin 1,350000,Second-Hand Dwelling house /Apartment,,"10 Sherrard Street Lower, Ballybough, Dublin 1, D01 WV96, Ireland",53.3598213,-6.2580917,Dublin City
2017,12/01/2017,Dublin 15,475000,Second-Hand Dwelling house /Apartment,,"10 Cabra Rd, Phibsborough, Dublin 7, D07 X6K7, Ireland",53.3606942,-6.2782901,Dublin City
2017,11/04/2017,Dublin 24,180000,Second-Hand Dwelling house /Apartment,,"10 Alderwood Ave, Springfield, Dublin 24, D24 CDH5, Ireland",53.2850404,-6.3803717,South Dublin
2017,08/03/2017,Dublin 4,1200000,Second-Hand Dwelling house /Apartment,,"10 Anglesea Rd, Dublin 4, D04 N2F5, Ireland",53.3235139,-6.2300818,Dublin City
2017,28/02/2017,Dublin 15,230000,Second-Hand Dwelling house /Apartment,,"10 Annaly Dr, Ongar Park, Dublin 15, D15 W0Y6, Ireland",53.3924231,-6.4335878,Fingal
2017,01/03/2017,Dublin 15,249500,Second-Hand Dwelling house /Apartment,,"10 Annfield Cres, Porterstown, Dublin 15, D15 R6A2, Ireland",53.375476,-6.4058481,Fingal
2017,16/06/2017,,132500,Second-Hand Dwelling house /Apartment,,"10 Applewood Gardens, Applewood, Swords, Co. Dublin, K67 KV29, Ireland",53.4703655,-6.2331902,Fingal
2017,24/05/2017,,230000,Second-Hand Dwelling house /Apartment,,"10 Ashton Cl, Ashton Broc, Swords, Co. Dublin, K67 HX25, Ireland",53.4748914,-6.2379858,Fingal
2017,17/02/2017,,290000,Second-Hand Dwelling house /Apartment,,"10 Aspen Rd, Drinan, Swords, Co. Dublin, K67 YY51, Ireland",53.4460435,-6.1984747,Fingal
2017,02/02/2017,Dublin 16,325110.13,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,"24 Abbots grove, Ballycullen, Knocklyon, Co. Dublin, Ireland",53.2710579,-6.3252412,South Dublin
2017,23/01/2017,Dublin 7,437000,Second-Hand Dwelling house /Apartment,,"10 Navan Rd, Baggot Rd, Ashtown, Dublin 7, D07 XF74, Ireland",53.3662687,-6.3194304,Dublin City
2017,28/03/2017,Dublin 9,199500,Second-Hand Dwelling house /Apartment,,"10 Beaumont Rd, Beaumont, Dublin 9, D09 VP26, Ireland",53.3815519,-6.2390287,Dublin City
2017,06/03/2017,,407000,Second-Hand Dwelling house /Apartment,,"Beechlawn, S Hill Ave, Merrion, Blackrock, Co. Dublin, Ireland",53.2995566,-6.1998405,Dn Laoghaire-Rathdown
2017,26/01/2017,Dublin 14,6.00E+05,Second-Hand Dwelling house /Apartment,,"10 Braemor Rd, Rathmines Little, Dublin 14, D14 Y956, Ireland",53.2961174,-6.2589283,Dn Laoghaire-Rathdown
2017,09/02/2017,Dublin 5,225000,Second-Hand Dwelling house /Apartment,,"10 Brookwood Cres, Harmonstown, Dublin 5, D05 P718, Ireland",53.3804821,-6.1935071,Dublin City
